"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"31";1,86085;23,9398;0,00574511;-0,0529582;-50,3679;2,16914;1868;5;1156;0,589844;1185,08;284943;146503;122,171;4,5325;-19;115;134;172;17,8;126;30;670;3,4;"1"
"32";0,766731;28,7515;0,0501271;0,0191485;3,03298;1,37658;1734;5,9;1218;0,444339;995,81;284973;139733;25,5101;6,15277;-18,5;115;120;197;18,6;103;24;636;3,5;"1"
"33";0,000148952;41,3746;-0,00256906;0,0228721;-5,34661;0,997525;1734;5,9;1225;0,520097;1003,46;284948;139653;20,0865;6,37781;-18,7;117;122;192;18,4;107;25;630;3,5;"1"
"34";1,79991;25,373;0,0985097;0,0186787;4,03767;1,34128;1868;5,1;1156;0,558887;1196,02;284928;146493;130,459;3,98849;-19;115;134;172;17,8;126;30;670;3,4;"1"
"35";0,88504;18,0567;0,103741;0,0116773;-3,52509;1,37559;1807;5,2;1035;0,0513158;1158,19;284908;146033;114,019;4,55468;-19,4;116;131;176;18,3;122;29;670;3,4;"1"
"36";1,01588;23,9976;0,0109488;-0,0191181;1,31688;1,36704;1807;5,1;1035;0,661891;1161,91;284898;146038;112,989;4,59446;-19,4;116;131;176;18,3;122;29;670;3,4;"1"
"37";0,00985342;23,1079;0,197605;0,0599607;23,0544;1,07586;1845;5;1122;0,484627;1215,7;284888;147128;110,301;5,44901;-19;112;133;174;17,8;125;30;666;3,4;"1"
"38";1,86821;37,9626;0,0151562;0,0370595;2,51545;1,18057;1868;4,4;1100;0,572839;1429;284888;148163;87,274;5,0521;-17,6;116;146;159;15,7;142;31;683;3,4;"1"
"39";0,937389;29,6978;-0,00586129;-0,012054;-0,0881914;1,18817;1843;5,7;1249;0,624831;929,29;284888;155908;151,688;5,03834;-19,7;118;126;195;19,1;116;26;640;3,5;"1"
"40";1,5158;2,31621;-0,0488636;-0,00726205;-18,9086;2,21935;1868;5;1156;0,371274;1209,76;284868;146628;215,384;2,90498;-19;115;134;172;17,8;126;30;670;3,4;"1"
"41";0,709258;42,2131;0,0264662;0,00732802;4,19207;1,13028;1734;6,3;1218;0,521978;928,41;284848;139708;38,5386;6,50247;-18,7;112;122;192;18,4;107;25;630;3,5;"1"
"42";1,24927;35,6135;0,135621;0,0199926;16,1547;1,04662;1997;4,8;1114;0,567145;1270,25;284728;153178;137,64;5,46834;-19;122;137;169;17,4;143;31;727;3,3;"1"
"43";0,0120947;31,0462;-0,0324963;-0,00212055;-1,5282;1,56665;1653;6,8;1225;0,622585;754,39;284683;140413;90,2479;6,43088;-18,5;113;118;201;18,7;100;23;636;3,5;"1"
"44";0,0270472;42,0821;0,00789085;0,0145639;-6,13027;1,12925;1802;5;1121;0,443801;1177,96;284483;145863;110,297;5,18253;-19,5;113;133;171;18,1;127;30;680;3,4;"1"
"45";1,83381;35,2867;-0,0939225;-0,019105;-22,5982;1,42631;1916;5,3;1089;0,615599;1077,43;284468;150468;125,242;5,70485;-19,4;113;130;184;18,5;123;29;686;3,4;"1"
